Academy of Art University,79 New Montgomery,San Francisco,CA,94105
Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,94612
The Academy of Radio and TV Broadcasting,16052 Beach Blvd St 263n,Huntington Beach,CA,92647
Avalon School of Cosmetology,2318 Central Ave,Alameda,CA,94501
College of Alameda,555 Ralph Appezzato Memorial Pky,Alameda,CA,94501
Allan Hancock College,800 South College Drive,Santa Maria,CA,93454-6399
American Academy of Dramatic Arts,1336 N La Brea,Los Angeles,CA,90028
American Baptist Seminary of the West,2606 Dwight Way,Berkeley,CA,94704-3029
American Film Institute Conservatory,2021 N Western Ave,Los Angeles,CA,90027-1625
American Beauty College,646 S. Sunset Ave,West Covina,CA,91790
American Career College,4021 Rosewood Avenue,Los Angeles,CA,90004
American Conservatory Theater,30 Grant Ave,San Francisco,CA,94108-5834
American River College,4700 College Oak Dr,Sacramento,CA,95841-4286
Everest College,22336 Main Street,Hayward,CA,94541
Antelope Valley College,3041 West  Ave K,Lancaster,CA,93536-5426
Art Center College of Design,1700 Lida St,Pasadena,CA,91103
Associated Technical College,1670 Wilshire Blvd,Los Angeles,CA,90017-1604
Associated Technical College,707 Broadway-Ste 300,San Diego,CA,92101
Azusa Pacific University,901 E Alosta,Azusa,CA,91702-7000
Bakersfield College,1801 Panorama Dr,Bakersfield,CA,93305-1299
Barstow Community College,2700 Barstow Road,Barstow,CA,92311
Bellus Academy,1520 East Plaza Blvd,National City,CA,91950
Bethesda University of California,730 N. Euclid St,Anaheim,CA,92801
Biola University,13800 Biola Ave,La Mirada,CA,90639-0001
Brooks Institute,25/27 Mason Street,Santa Barbara,CA,93101
Brownson Technical School,1110 Technology Cir Ste D,Anaheim,CA,92805
Bryan University,3580 Wilshire blvd suite 400,Los Angeles,CA,90010
Butte College,3536 Butte Campus Drive,Oroville,CA,95965-8399
Phillips Graduate Institute,19900 Plummer Street,Chatsworth,CA,91311
California Institute of Integral Studies,1453 Mission Street,San Francisco,CA,94103
Cabrillo College,6500 Soquel Dr,Aptos,CA,95003
California Baptist University,8432 Magnolia Ave,Riverside,CA,92504-3297
California College of the Arts,1111 Eighth Street,San Francisco,CA,94107-2247
California Institute of Technology,1200 E California Blvd,Pasadena,CA,91125
California Lutheran University,60 W Olsen Rd,Thousand Oaks,CA,91360-2787
California Polytechnic State University,1 Grand Ave.,San Luis Obispo,CA,93407
Alliant International University,10455 Pomerado Road,San Diego,CA,92131-1799
California State University Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,93311-1099
California State University Stanislaus,One University Circle,Turlock,CA,95382-0299
California State University San Bernardino,5500 University Pky,San Bernardino,CA,92407-2397
California State Polytechnic University Pomona,3801 West Temple Avenue,Pomona,CA,91768
California State University Chico,First and Normal Sts,Chico,CA,95929-0150
California State University Dominguez Hills,1000 E Victoria St,Carson,CA,90747-0005
California State University Fresno,5241 N Maple Ave,Fresno,CA,93740
California State University Fullerton,800 N State College Blvd,Fullerton,CA,92831-3599
California State University East Bay,25800 Carlos Bee Blvd,Hayward,CA,94542
California State University Long Beach,1250 Bellflower Blvd,Long Beach,CA,90840-0115
California State University Los Angeles,5151 State University Dr,Los Angeles,CA,90032
California State University Northridge,18111 Nordhoff St,Northridge,CA,91330
California State University Sacramento,6000 J St,Sacramento,CA,95819-2694
University of California Berkeley,200 California Hall,Berkeley,CA,94720
University of California Davis,One Shields Avenue,Davis,CA,95616-8678
University of California Irvine,501 Aldrich Hall,Irvine,CA,92697
University of California Los Angeles,405 Hilgard Ave,Los Angeles,CA,90095-1405
University of California Riverside,900 University Ave,Riverside,CA,92521
University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093
University of California San Francisco,500 Parnassus Ave,San Francisco,CA,94143-0244
University of California Santa Barbara,5221 Cheadle Hall,Santa Barbara,CA,93106
University of California Santa Cruz,1156 High St,Santa Cruz,CA,95064-1011
Sofia University,1069 East Meadow Cr,Palo Alto,CA,94303
California Beauty School,1115 15th St,Modesto,CA,95354
California Christian College,4881 E University Ave,Fresno,CA,93703-3599
California College San Diego,6602 Convoy Court Ste 100,San Diego,CA,92111-1009
Le Cordon Bleu College of Culinary Arts,350 Rhode Island Street,San Francisco,CA,94103
California Hair Design Academy,"8011 University Avenue, Suite A-2",La Mesa,CA,91941-5055
California Institute of the Arts,24700 W McBean Pky,Valencia,CA,91355-2397
California Maritime Academy,200 Maritime Academy Dr,Vallejo,CA,94590
California Western School of Law,225 Cedar St,San Diego,CA,92101-3046
Canada College,4200 Farm Hill Blvd.,Redwood City,CA,94061-1099
College of the Canyons,26455 Rockwell Canyon Rd,Santa Clarita,CA,91355-1899
Career Academy of Beauty,12471 Valley View,Garden Grove,CA,92845
Casa Loma College,6725 Kester Ave,Van Nuys,CA,91405
Cerritos College,11110 Alondra Blvd,Norwalk,CA,90650-6298
Cerro Coso Community College,3000 College Heights Blvd,Ridgecrest,CA,93555-9571
Chabot College,25555 Hesperian Blvd,Hayward,CA,94545
Chaffey College,5885 Haven Ave,Rancho Cucamonga,CA,91737-3002
Chapman University,One University Dr.,Orange,CA,92866
Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,CA,90059
Concordia University Irvine,1530 Concordia West,Irvine,CA,92612-3203
San Diego Christian College,2100 Greenfield Dr,El Cajon,CA,92019-1157
Church Divinity School of the Pacific,2451 Ridge Road,Berkeley,CA,94709-1211
Citrus College,1000 W Foothill Blvd,Glendora,CA,91741-1899
Citrus Heights Beauty College,7518 Baird Way,Citris Heights,CA,95610-1410
City College of San Francisco,50 Phelan Ave,San Francisco,CA,94112-1898
Claremont Graduate University,150 E Tenth St,Claremont,CA,91711-6160
Claremont McKenna College,500 E 9th St,Claremont,CA,91711-6400
Milan Institute Visalia,6500 S. Mooney Blvd.,Visalia,CA,93277
Clovis Adult Education,1452 David E Cook Way,Clovis,CA,93611
Coastline Community College,11460 Warner Ave.,Fountain Valley,CA,92708-2597
Cogswell College,1175 Bordeaux  Drive,Sunnyvale,CA,94089
Coleman University,8888 Balboa Ave,San Diego,CA,92123-1506
COBA Academy,102 N Glassell St,Orange,CA,92866
Western University of Health Sciences,309 E 2nd St,Pomona,CA,91766-1854
Columbia College,11600 Columbia College Dr,Sonora,CA,95370
Columbia College Hollywood,18618 Oxnard St,Tarzana,CA,91356-1411
El Camino College Compton Center,1111 East Artesia Blvd.,Compton,CA,90221-5393
Western Beauty Institute,8700 Van Nuys Blvd,Panorama City,CA,91402
Contra Costa College,2600 Mission Bell Dr,San Pablo,CA,94806-3195
Cosumnes River College,8401 Center Parkway,Sacramento,CA,95823-5799
Crafton Hills College,11711 Sand Canyon Road,Yucaipa,CA,92339-1799
Cuesta College,Highway 1,San Luis Obispo,CA,93403-8106
Cuyamaca College,900 Rancho San Diego Pky,El Cajon,CA,92019
Cypress College,9200 Valley View,Cypress,CA,90630-5897
De Anza College,21250 Stevens Creek Blvd.,Cupertino,CA,95014
Marinello Schools of Beauty-Hemet,2627 W Florida Ave-Ste 100,Hemet,CA,92545
International School of Beauty Inc,72261 Hwy 111 Ste 121-B,Palm Desert,CA,92260-2740
Dell Arte International School of Physical Theatre,131 H Street,Blue Lake,CA,95525-0816
College of the Desert,43-500 Monterey Ave,Palm Desert,CA,92260
Design Institute of San Diego,8555 Commerce Ave,San Diego,CA,92121
DeVry University-California,901 Corporate Center Dr,Pomona,CA,91768-2642
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,94523
Dominican University of California,50 Acacia Ave,San Rafael,CA,94901-2298
Dominican School of Philosophy & Theology,2301 Vine Street,Berkeley,CA,94708-1816
East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,CA,91754-6099
Marinello Schools of Beauty-Santa Clara,955 Monroe St,Santa Clara,CA,95050
San Diego Continuing Education,4343 Ocean View Blvd,San Diego,CA,92113
El Camino Community College District,16007 Crenshaw Blvd,Torrance,CA,90506
Elegance International,1622 N. Highland Ave,Hollywood,CA,90028-6106
Marinello Schools of Beauty-Burbank,200 N. San Fernando Blvd,Burbank,CA,91502
Marinello Schools of Beauty-Moreno Valley,24741 Alessandro Blvd,Moreno Valley,CA,92553
Emperor's College of Traditional Oriental Medicine,"1807 Wilshire Blvd, Ste #200",Santa Monica,CA,90403
Empire College School of Business,3035 Cleveland Ave,Santa Rosa,CA,95403-2126
Evergreen Valley College,3095 Yerba Buena Rd,San Jose,CA,95135-1598
Fashion Institute of Design & Merchandising-Los Angeles,919 S Grand Ave,Los Angeles,CA,90015-1421
Fashion Careers College,1923 Morena Blvd,San Diego,CA,921103555
Feather River Community College District,570 Golden Eagle Ave,Quincy,CA,95971-9124
Federico Beauty Institute,1515 Sports Drive Ste 100,Sacramento,CA,95834
Fielding Graduate University,2020 De La Vina St,Santa Barbara,CA,93105-3538
Five Branches University,200 7th Avenue,Santa Cruz,CA,95062
Hair California Beauty Academy,1110 N Tustin St,Orange,CA,92867
Foothill College,12345 El Monte Rd,Los Altos Hills,CA,94022
Franciscan School of Theology,1712 Euclid Ave,Berkeley,CA,94709-1208
Fredrick and Charles Beauty College,831 F St,Eureka,CA,95501
Fresno City College,1101 E. University Ave,Fresno,CA,93741
Fresno Pacific University,1717 S Chestnut Ave,Fresno,CA,93702-4709
Foothill De Anza Community College District,12345 El Monte Rd,Los Altos Hills,CA,94022-4599
Fuller Theological Seminary in California,135 N Oakland Ave,Pasadena,CA,91182
Fullerton College,321 E Chapman Avenue,Fullerton,CA,92832-2095
Galen College of Medical and Dental Assistants,1840 Shaw Ave Ste 105,Clovis,CA,93611-4002
Gavilan College,5055 Santa Teresa Blvd,Gilroy,CA,95020
Gemological Institute of America Carlsbad,5345 Armada Dr,Carlsbad,CA,92008
Glendale Community College,1500 N Verdugo Rd,Glendale,CA,91208-2894
Glendale Career College,240 North Brand Boulevard Lower Level,Glendale,CA,91203
Golden Gate University-San Francisco,536 Mission Street,San Francisco,CA,94105-2968
Golden West College,15744 Goldenwest St.,Huntington Beach,CA,92647-2710
Graduate Theological Union,2400 Ridge Rd,Berkeley,CA,94709
Grossmont-Cuyamaca Community College District,8800 Grossmont College Dr,El Cajon,CA,92020-1799
Grossmont College,8800 Grossmont College Dr,El Cajon,CA,92020-1799
Salon Success Academy-San Bernardino,208 W Highland Ave,San Bernardino,CA,92405
Hartnell College,411 Central Avenue,Salinas,CA,93901
Harvey Mudd College,301 Platt Blvd.,Claremont,CA,91711
Hilltop Beauty School,6317 Mission St,Daly City,CA,94014
Holy Names University,3500 Mountain Blvd,Oakland,CA,94619-1699
Pacifica Graduate Institute,249 Lambert Rd,Carpinteria,CA,93013
Humboldt State University,1 Harpst Street,Arcata,CA,95521-8299
Humphreys College-Stockton and Modesto Campuses,6650 Inglewood Ave,Stockton,CA,95207-3896
Imperial Valley College,380 E. Aten Road,Imperial,CA,92251-0158
Institute for Business and Technology,2400 Walsh Avenue,Santa Clara,CA,95051-1303
LA College International,3200 Wilshire Blvd. #400,Los Angeles,CA,900101308
Interior Designers Institute,1061 Camelback Rd,Newport Beach,CA,92660
Irvine Valley College,5500 Irvine Center Drive,Irvine,CA,92618-0301
Bellus Academy El Cajon,1073 E Main St,El Cajon,CA,92021
Joe Blasco Makeup Artist Training Center,1670 Hillhurst Avenue,Los Angeles,CA,90027-5580
John F Kennedy University,100 Ellinwood Way,Pleasant Hill,CA,94523-4817
American Jewish University,15600 Mulholland Dr,Los Angeles,CA,90077-1519
Reedley College,995 N Reed Ave,Reedley,CA,93654
Life Pacific College,1100 W. Covina Blvd.,San Dimas,CA,91773-3298
University of La Verne,1950 Third St,La Verne,CA,91750-4401
Laguna College of Art and Design,2222 Laguna Canyon Rd,Laguna Beach,CA,92651
Lake Tahoe Community College,One College Drive,South Lake Tahoe,CA,96150
Lancaster Beauty School,44646 N 10th St W,Lancaster,CA,93534
Laney College,900 Fallon Sreet,Oakland,CA,94607
Lassen Community College,Hwy 139,Susanville,CA,96130
Life Chiropractic College West,25001 Industrial Blvd,Hayward,CA,94545-2800
Lincoln University,401 15th Street,Oakland,CA,94612-2801
Southern California Seminary,2075 E. Madison Avenue,El Cajon,CA,92019-1108
La Sierra University,4500 Riverwalk Parkway,Riverside,CA,92515-8247
Loma Linda University,11139 Anderson Street,Loma Linda,CA,92350
Long Beach City College,4901 E. Carson St.,Long Beach,CA,90808-1706
Southern California University of Health Sciences,16200 East Amber Valley Drive,Whittier,CA,90604
Los Angeles Harbor College,1111 Figueroa Place,Wilmington,CA,90744-2397
Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,CA,91371-0002
Los Angeles Southwest College,1600 W Imperial Hwy.,Los Angeles,CA,90047-4899
Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,CA,90015-4181
Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,CA,91401-4096
Los Angeles City College,855 N Vermont Ave,Los Angeles,CA,90029
Los Angeles County College of Nursing and Allied Health,1237 N. Mission Rd.,Los Angeles,CA,90033-1084
Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,CA,91342-3200
Los Medanos College,2700 East Leland Road,Pittsburg,CA,94565
Los Rios Community College District Office,1919 Spanos Ct,Sacramento,CA,95825-3981
Loyola Marymount University,One Lmu Drive,Los Angeles,CA,90045-2659
Lu Ross Academy,470 East Thompson Blvd,Ventura,CA,93001-2729
Manchester Beauty College,3756 N Blackstone Ave,Fresno,CA,93726
Tulare Beauty College,1400 W Inyo St,Tulare,CA,93274
Lyles Bakersfield College of Beauty,2935 F St,Bakersfield,CA,93301
Lyles Fresno College of Beauty,6735 N First Ave Ste 112,Fresno,CA,93710
Lytles Redwood Empire Beauty College Inc,186 Wikiup Dr,Santa Rosa,CA,95403
MTI Business College Inc,6006 N. El Dorado Street,Stockton,CA,95207-4349
MTI College,5221 Madison Ave,Sacramento,CA,95841-9817
College of Marin,835 College Ave,Kentfield,CA,94904-2590
Marinello Schools of Beauty-Los Angeles,1241 S. Soto Street Suite #101,Los Angeles,CA,90023
Marymount California University,30800 Palos Verdes Drive East,Rancho Palos Verdes,CA,90275-6299
Mendocino College,1000 Hensley Creek Road,Ukiah,CA,95482
Menlo College,1000 El Camino Real,Atherton,CA,94027-4301
Merced College,3600 M St,Merced,CA,95348-2898
Merritt College,12500 Campus Dr,Oakland,CA,94619-3196
Mills College,5000 MacArthur Blvd,Oakland,CA,94613
MiraCosta College,One Barnard Drive,Oceanside,CA,92056-3899
Marinello Schools of Beauty-San Francisco,1087 Mission Street,San Francisco,CA,94103
Mission College,3000 Mission College Blvd,Santa Clara,CA,95054-1897
Modern Beauty Academy,699 South C St,Oxnard,CA,93030
Kaplan College-North Hollywood,"6180 Laurel Canyon Boulevard, Suite 101",North Hollywood,CA,91606-3231
Modesto Junior College,435 College Ave,Modesto,CA,95350-5800
Moler Barber College,3815 Telegraph Ave,Oakland,CA,94609-2419
Monterey Institute of International Studies,460 Pierce Street,Monterey,CA,93940
Monterey Peninsula College,980 Fremont St,Monterey,CA,93940-4799
Moorpark College,7075 Campus Rd,Moorpark,CA,93021-1695
Mt San Antonio College,1100 N Grand Ave,Walnut,CA,91789-1399
Mount St Mary's College,12001 Chalon Rd,Los Angeles,CA,90049-1599
Mt San Jacinto Community College District,1499 N. State St.,San Jacinto,CA,92583-2399
Mueller College,"123 Camino de la Reina, #100 North",San Diego,CA,92108-3002
Musicians Institute,6752 Hollywood Blvd.,Hollywood,CA,90028
Napa Valley College,2277 Napa-Vallejo Hwy,Napa,CA,94558-6236
The National Hispanic University,14271 Story Rd,San Jose,CA,95127-3823
National Holistic Institute,5900 Doyle Street,Emeryville,CA,94608-2008
National University,11255 North Torrey Pines Road,La Jolla,CA,92037-1011
Naval Postgraduate School,1 University Circle,Monterey,CA,93943
Newschool of Architecture and Design,1249 F St,San Diego,CA,92101
Newberry School of Beauty,16860 Devonshire Blvd,Granada Hills,CA,91344-7401
Adrian's College of Beauty Modesto,124 Floyd Ave,Modesto,CA,95350-2381
North Orange County Community College District,1830 W. Romneya Drive,Anaheim,CA,92801-1819
North-West College-Pomona,170  W Holt Ave,Pomona,CA,91768
North-West College-West Covina,2121 W Garvey Ave,West Covina,CA,91790
North-West College-Pasadena,530 E Union,Pasadena,CA,91101
Northwestern Polytechnic University,47671 Westinghouse Drive,Fremont,CA,94539
Notre Dame de Namur University,1500 Ralston Ave,Belmont,CA,94002-1908
Occidental College,1600 Campus Rd,Los Angeles,CA,90041-3392
Oceanside College of Beauty,1575 S Coast Hwy,Oceanside,CA,92054-5356
Ohlone College,43600 Mission Blvd,Fremont,CA,94539-0390
Orange Coast College,2701 Fairview Road,Costa Mesa,CA,92626
Otis College of Art and Design,9045 Lincoln Blvd,Los Angeles,CA,90045-3505
Oxnard College,4000 S Rose Ave,Oxnard,CA,93033-6699
Hope International University,2500 E Nutwood Ave,Fullerton,CA,92831-3199
Concorde Career College-San Diego,"4393 Imperial Avenue, Suite 100",San Diego,CA,92113-1964
Palo Alto University,1791 Arastradero Rd,Palo Alto,CA,94304-1337
Pacific Lutheran Theological Seminary,2770 Marin Ave,Berkeley,CA,94708-1597
Pacific Oaks College,55 Eureka Street,Pasadena,CA,91103
Pacific School of Religion,1798 Scenic Ave,Berkeley,CA,94709
Pacific States University,3450 Wilshire Blvd. Suite 500,Los Angeles,CA,90010
Pacific Union College,One Angwin Ave,Angwin,CA,94508-9707
University of the Pacific,3601 Pacific Ave,Stockton,CA,95211-0197
Palo Verde College,One College Drive,Blythe,CA,92225
Palomar College,1140 W. Mission,San Marcos,CA,92069-1487
Paris Beauty College,1655 Willow Pass Road,Concord,CA,94520
Pasadena City College,1570 E Colorado Blvd.,Pasadena,CA,91106-2003
Pepperdine University,24255 Pacific Coast Hwy,Malibu,CA,90263
Peralta Community College System Office,333 E Eighth St,Oakland,CA,94606
Pitzer College,1050 North Mills Avenue,Claremont,CA,91711-6101
Platt College-San Diego,6250 El Cajon Blvd,San Diego,CA,92115-3919
Point Loma Nazarene University,3900 Lomaland Dr,San Diego,CA,92106-2899
Pomona College,550 N College Ave,Claremont,CA,91711-6319
Porterville College,100 E College Ave,Porterville,CA,93257
Westwood College-South Bay,"19700 S. Vermont Avenue, Suite 100",Torrance,CA,90502
Professional Institute of Beauty,10801 E. Valley Mall,El Monte,CA,91731
Santa Ana College,1530 W. 17th Street,Santa Ana,CA,92706-3398
Pardee RAND Graduate School,1776 Main St,Santa Monica,CA,90407-2138
Shasta School of Cosmetology,678 N Market St,Redding,CA,96003
University of Redlands,1200 E. Colton Ave,Redlands,CA,92373-0999
College of the Redwoods,7351 Tompkins Hill Rd,Eureka,CA,95501-9300
Rio Hondo College,3600 Workman Mill Rd,Whittier,CA,90601-1616
Riverside City College,4800 Magnolia Avenue,Riverside,CA,92506
Rosemead Beauty School,8531 E Valley Blvd,Rosemead,CA,91770-1639
Dongguk University-Los Angeles,440 Shatto Pl,Los Angeles,CA,90020-1704
Sacramento City College,3835 Freeport Blvd,Sacramento,CA,95822-1386
Saddleback College,28000 Marguerite Pky,Mission Viejo,CA,92692-3635
Saint Patrick's Seminary and University,320 Middlefield Rd,Menlo Park,CA,94025
Samuel Merritt University,3100 Telegraph Avenue,Oakland,CA,94609
San Diego Community College District-District Office,3375 Camino Del Rio S,San Diego,CA,92108-3883
San Diego City College,1313 Park Boulevard,San Diego,CA,92101-4787
Golf Academy of America-Carlsbad,"1950 Camino Vida Roble, Ste. 125",Carlsbad,CA,92008
San Diego Mesa College,7250 Mesa College Dr,San Diego,CA,92111-4998
San Diego Miramar College,10440 Black Mountain Rd,San Diego,CA,92126-2999
San Diego State University,5500 Campanile Dr,San Diego,CA,92182
University of San Diego,5998 Alcala Park,San Diego,CA,92110-2492
San Francisco Art Institute,800 Chestnut St,San Francisco,CA,94133-2299
San Francisco Conservatory of Music,50 Oak Street,San Francisco,CA,94102-6011
San Francisco State University,1600 Holloway Ave,San Francisco,CA,94132
San Francisco Theological Seminary,105 Seminary Road,San Anselmo,CA,94960-0000
University of San Francisco,2130 Fulton St,San Francisco,CA,94117-1080
San Joaquin College of Law,901 Fifth St,Clovis,CA,93612-1312
San Joaquin Delta College,5151 Pacific Ave,Stockton,CA,95207
San Joaquin Valley College-Visalia,8344 W Mineral King Ave,Visalia,CA,93291-9283
San Joaquin Valley College-Bakersfield,201 New Stine Rd.,Bakersfield,CA,93309
William Jessup University,333 Sunset Blvd.,Rocklin,CA,95765-3707
San Jose-Evergreen Community College District,4750 San Felipe Rd,San Jose,CA,95135-1599
San Jose City College,2100 Moorpark Ave,San Jose,CA,95128-2798
San Jose State University,1 Washington Sq,San Jose,CA,95192-0001
College of San Mateo,1700 W Hillsdale Blvd,San Mateo,CA,94402-3784
Santa Barbara Business College-Santa Maria,303 E Plaza Dr Ste 1,Santa Maria,CA,93454
Santa Barbara City College,721 Cliff Drive,Santa Barbara,CA,93109-2394
Santa Clara University,500 El Camino Real,Santa Clara,CA,95053
Santa Monica College,1900 Pico Blvd,Santa Monica,CA,90405-1628
Santa Rosa Junior College,1501 Mendocino Avenue,Santa Rosa,CA,95401-4395
Saybrook University,747 Front Street 3rd Fl.,San Francisco,CA,94111-1920
Scripps College,1030 North Columbia Avenue,Claremont,CA,91711-3905
College of the Sequoias,915 S Mooney Blvd,Visalia,CA,93277-2214
Shasta Bible College and Graduate School,2951 Goodwater Ave.,Redding,CA,96002
Shasta College,11555 Old Oregon Trail,Redding,CA,96003
Sierra College,5000 Rocklin Road,Rocklin,CA,95677-3397
Sierra College of Beauty,1340 W 18th St,Merced,CA,95340
Sierra Valley College of Court Reporting,4747 N First St Bldg D,Fresno,CA,93726
Trinity Law School,2200 N Grand Ave,Santa Ana,CA,92705
Simpson University,2211 College View Drive,Redding,CA,96003-8606
College of the Siskiyous,800 College Ave,Weed,CA,96094-2899
Skyline College,3300 College Dr,San Bruno,CA,94066-1698
San Bernardino Valley College,701 South Mount Vernon Avenue,San Bernardino,CA,92410-2798
Saint Mary's College of California,1928 Saint Marys Road,Moraga,CA,94575
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534-3197
Sonoma State University,1801 E Cotati Ave,Rohnert Park,CA,94928-3609
Pinnacle College,1000 South Fremont Avenue, Bldg A-11, Ste 11010,Alhambra,CA,91803
South Baylo University,1126 N Brookhurst St,Anaheim,CA,92801-1701
South Coast College,2011 W. Chapman Avenue,Orange,CA,92868-2609
Vanguard University of Southern California,55 Fair Dr,Costa Mesa,CA,92626
Southwestern College,900 Otay Lakes Rd,Chula Vista,CA,91910-7299
St John's Seminary,5012 Seminary Rd,Camarillo,CA,93012-2500
Starr King School for Ministry,2441 Le Conte AVE,Berkeley,CA,94709-1209
State Center Community College District,1525 E. Weldon Avenue,Fresno,CA,93704
Marshall B Ketchum University,2575 Yorba Linda Blvd,Fullerton,CA,92831-1699
Southern California Institute of Architecture,960 E. 3rd Street,Los Angeles,CA,90013-1822
University of Southern California,University Park,Los Angeles,CA,90089
Southwestern Law School,3050 Wilshire Boulevard,Los Angeles,CA,90010-1106
Taft College,29 Cougar Court,Taft,CA,93268
Claremont School of Theology,1325 N College Ave,Claremont,CA,91711-3199
Thomas Aquinas College,"10,000 Ojai Rd",Santa Paula,CA,93060
Marinello Schools of Beauty-Lake Forest,23635 El Toro Road Suite K,Lake Forest,CA,92630
Epic Bible College,4330 Auburn Boulevard,Sacramento,CA,95841
Universal College of Beauty Inc-Los Angeles 1,8619 S. Vermont Ave,Los Angeles,CA,90044
Ventura College,4667 Telegraph Rd,Ventura,CA,93003-3872
Victor Valley Beauty College Inc,16515 Mojave Dr,Victorville,CA,92395
Victor Valley College,18422 Bear Valley Rd,Victorville,CA,92395-5850
Berkeley City College,2050 Center Sreet,Berkeley,CA,94704
West Valley Mission Community College District Office,14000 Fruitvale Ave,Saratoga,CA,95070-5698
Walden University,"100 Washington Avenue South, Suite 900",Minneapolis,MN,55401
Waynes College of Beauty,1271 North Main Street,Salinas,CA,93906-2830
West Los Angeles College,9000 Overland Avenue,Culver City,CA,90230-3519
West Valley College,14000 Fruitvale Ave,Saratoga,CA,95070-5698
Westminster Theological Seminary in California,1725 Bear Valley Parkway,Escondido,CA,92027
Westmont College,955 La Paz Rd,Santa Barbara,CA,93108-1089
Whittier College,13406 E Philadelphia Street,Whittier,CA,90601
Woodbury University,7500 Glenoaks Blvd,Burbank,CA,91510-7846
The Wright Institute,2728 Durant Ave,Berkeley,CA,94704-1796
Western State College of Law at Argosy University,1111 N State College Blvd,Fullerton,CA,92831-3014
Thomas Jefferson School of Law,1155 Island Avenue,San Diego,CA,92101
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,7215 Waring Ave,Los Angeles,CA,90046
Yuba College,2088 N Beale Rd,Marysville,CA,95901
